datetime,season,PM_City Station,PM_5th Middle School,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM_Average
2011-11-22 22:00:00,3.0,79.0,,79.0,16.9,85.0,1013.7,19.5,NW,2.9,0.0,0.0,79.0
2011-11-22 23:00:00,3.0,79.0,,79.0,16.8,90.0,1013.7,18.5,NW,4.4,0.0,0.0,79.0
2011-11-23 00:00:00,3.0,79.0,,79.0,16.5,89.0,1013.4,18.3,NW,7.3,0.0,0.0,79.0
2011-11-23 01:00:00,3.0,84.0,,84.0,16.4,85.0,1013.4,19.0,NW,11.4,0.0,0.0,84.0
2011-11-23 02:00:00,3.0,,,,16.0,84.0,1013.0,18.8,SW,1.1,0.0,0.0,76.5
2011-11-23 03:00:00,3.0,69.0,,69.0,15.1,81.0,1012.3,18.4,NE,1.5,0.0,0.0,69.0
2011-11-23 04:00:00,3.0,66.0,,66.0,13.3,74.0,1012.4,18.0,NE,4.4,0.0,0.0,66.0
2011-11-23 05:00:00,3.0,64.0,,64.0,13.0,74.0,1012.5,17.7,NW,1.4,0.0,0.0,64.0
2011-11-23 06:00:00,3.0,62.0,,62.0,13.0,79.0,1012.9,16.7,NW,2.2,0.0,0.0,62.0
2011-11-23 07:00:00,3.0,59.0,,59.0,13.4,88.0,1013.6,15.4,NW,4.6,0.0,0.0,59.0
2011-11-23 08:00:00,3.0,60.0,,60.0,11.7,69.0,1014.6,17.4,NE,2.5,0.0,0.0,60.0
2011-11-23 09:00:00,3.0,64.0,,64.0,11.6,61.0,1015.3,19.3,NE,6.3,0.0,0.0,64.0
2011-11-23 10:00:00,3.0,68.0,,68.0,11.3,52.0,1015.5,21.6,NE,9.5,0.0,0.0,68.0
2011-11-23 11:00:00,3.0,58.0,,58.0,10.5,45.0,1014.7,23.1,NW,6.4,0.0,0.0,58.0
2011-11-23 12:00:00,3.0,57.0,,57.0,10.7,43.0,1013.7,24.0,NE,5.2,0.0,0.0,57.0
2011-11-23 13:00:00,3.0,56.0,,56.0,11.6,43.0,1012.5,25.0,NE,10.9,0.0,0.0,56.0
2011-11-23 14:00:00,3.0,47.0,,47.0,11.8,43.0,1011.6,25.3,NE,17.1,0.0,0.0,47.0
2011-11-23 15:00:00,3.0,54.0,,54.0,11.4,43.0,1011.5,24.8,NW,4.8,0.0,0.0,54.0
2011-11-23 16:00:00,3.0,59.0,,59.0,11.7,44.0,1011.6,24.8,NE,4.8,0.0,0.0,59.0
2011-11-23 17:00:00,3.0,65.0,,65.0,12.0,50.0,1012.1,23.0,NW,2.7,0.0,0.0,65.0
2011-11-23 18:00:00,3.0,75.0,,75.0,12.9,62.0,1012.6,20.4,NE,3.1,0.0,0.0,75.0
2011-11-23 19:00:00,3.0,76.0,,76.0,13.5,71.0,1013.1,18.9,NE,6.5,0.0,0.0,76.0
2011-11-23 20:00:00,3.0,79.0,,79.0,12.9,72.0,1013.8,18.0,NE,9.7,0.0,0.0,79.0
2011-11-23 21:00:00,3.0,61.0,,61.0,12.6,75.0,1014.3,17.1,NE,12.2,0.0,0.0,61.0
2011-11-23 22:00:00,3.0,50.0,,50.0,12.8,82.0,1014.4,15.9,NE,14.4,0.0,0.0,50.0
2011-11-23 23:00:00,3.0,61.0,,61.0,11.0,70.0,1014.5,16.5,NW,1.0,0.0,0.0,61.0
2011-11-24 00:00:00,3.0,60.0,,60.0,10.5,67.0,1014.4,16.6,NW,3.0,0.0,0.0,60.0
2011-11-24 01:00:00,3.0,61.0,,61.0,10.2,68.0,1014.3,16.1,NW,5.4,0.0,0.0,61.0
2011-11-24 02:00:00,3.0,64.0,,64.0,9.9,68.0,1014.2,15.8,NW,8.4,0.0,0.0,64.0
2011-11-24 03:00:00,3.0,67.0,,67.0,9.8,69.0,1014.0,15.5,NW,10.6,0.0,0.0,67.0
2011-11-24 04:00:00,3.0,63.0,,63.0,10.1,75.0,1014.0,14.5,NW,12.4,0.0,0.0,63.0
2011-11-24 05:00:00,3.0,63.0,,63.0,9.5,73.0,1014.1,14.3,NW,14.5,0.0,0.0,63.0
2011-11-24 06:00:00,3.0,56.0,,56.0,8.8,69.0,1014.4,14.4,NW,15.9,0.0,0.0,56.0
2011-11-24 07:00:00,3.0,57.0,,57.0,8.5,69.0,1014.8,14.1,NE,1.2,0.0,0.0,57.0
2011-11-24 08:00:00,3.0,49.0,,49.0,8.9,61.0,1015.7,16.4,SE,0.7,0.0,0.0,49.0
2011-11-24 09:00:00,3.0,48.0,,48.0,8.9,56.0,1015.8,17.8,NW,3.0,0.0,0.0,48.0
2011-11-24 10:00:00,3.0,52.0,,52.0,8.2,47.0,1015.7,19.8,NE,2.8,0.0,0.0,52.0
2011-11-24 11:00:00,3.0,49.0,,49.0,8.7,44.0,1015.1,21.5,NE,6.7,0.0,0.0,49.0
2011-11-24 12:00:00,3.0,49.0,,49.0,8.8,42.0,1014.4,22.3,NE,9.2,0.0,0.0,49.0
2011-11-24 13:00:00,3.0,47.0,,47.0,8.4,38.0,1013.2,23.5,NE,10.7,0.0,0.0,47.0
2011-11-24 14:00:00,3.0,48.0,,48.0,8.4,36.0,1011.9,24.4,NE,13.9,0.0,0.0,48.0
2011-11-24 15:00:00,3.0,50.0,,50.0,7.8,35.0,1011.3,24.2,NE,16.1,0.0,0.0,50.0
2011-11-24 16:00:00,3.0,53.0,,53.0,9.2,39.0,1010.9,24.0,NE,17.5,0.0,0.0,53.0
2011-11-24 17:00:00,3.0,46.0,,46.0,11.7,50.0,1010.9,22.6,NW,1.1,0.0,0.0,46.0
2011-11-24 18:00:00,3.0,60.0,,60.0,13.3,68.0,1011.4,19.3,NE,1.7,0.0,0.0,60.0
2011-11-24 19:00:00,3.0,60.0,,60.0,13.9,78.0,1012.2,17.8,NW,1.6,0.0,0.0,60.0
2011-11-24 20:00:00,3.0,55.0,,55.0,13.9,84.0,1012.7,16.6,NE,2.0,0.0,0.0,55.0
2011-11-24 21:00:00,3.0,63.0,,63.0,13.8,88.0,1013.2,15.8,NE,3.7,0.0,0.0,63.0
2011-11-24 22:00:00,3.0,71.0,,71.0,13.6,88.0,1013.5,15.6,NE,5.6,0.0,0.0,71.0
2011-11-24 23:00:00,3.0,58.0,,58.0,13.2,87.0,1013.3,15.3,NW,1.6,0.0,0.0,58.0
2011-11-25 00:00:00,3.0,92.0,,92.0,13.4,89.0,1013.3,15.2,NE,1.6,0.0,0.0,92.0
2011-11-25 01:00:00,3.0,88.0,,88.0,13.6,87.0,1013.1,15.8,NW,1.7,0.0,0.0,88.0
2011-11-25 02:00:00,3.0,110.0,,110.0,13.4,85.0,1013.0,15.9,NW,3.3,0.0,0.0,110.0
2011-11-25 03:00:00,3.0,89.0,,89.0,13.7,85.0,1012.5,16.2,NW,5.1,0.0,0.0,89.0
2011-11-25 04:00:00,3.0,76.0,,76.0,13.2,82.0,1012.1,16.3,NW,6.7,0.0,0.0,76.0
2011-11-25 05:00:00,3.0,56.0,,56.0,13.2,83.0,1012.4,16.1,NW,7.8,0.0,0.0,56.0
2011-11-25 06:00:00,3.0,69.0,,69.0,13.1,81.0,1012.8,16.4,NE,1.6,0.0,0.0,69.0
2011-11-25 07:00:00,3.0,61.0,,61.0,12.4,75.0,1013.5,16.9,NE,3.1,0.0,0.0,61.0
2011-11-25 08:00:00,3.0,67.0,,67.0,12.7,74.0,1014.0,17.4,NW,1.3,0.0,0.0,67.0
2011-11-25 09:00:00,3.0,50.0,,50.0,12.3,65.0,1014.3,19.0,NE,1.7,0.0,0.0,50.0
2011-11-25 10:00:00,3.0,48.0,,48.0,11.6,55.0,1014.8,21.0,NE,3.6,0.0,0.0,48.0
2011-11-25 11:00:00,3.0,44.0,,44.0,11.7,53.0,1013.9,21.7,NE,6.7,0.0,0.0,44.0
2011-11-25 12:00:00,3.0,50.0,,50.0,12.1,51.0,1013.2,22.7,NE,9.5,0.0,0.0,50.0
2011-11-25 13:00:00,3.0,56.0,,56.0,12.0,52.0,1012.1,22.3,NE,11.1,0.0,0.0,56.0
2011-11-25 14:00:00,3.0,48.0,,48.0,12.4,53.0,1011.4,22.4,NE,12.7,0.0,0.0,48.0
2011-11-25 15:00:00,3.0,53.0,,53.0,13.1,56.0,1010.7,22.3,NE,14.8,0.0,0.0,53.0
2011-11-25 16:00:00,3.0,60.0,,60.0,13.7,61.0,1010.3,21.5,NE,17.5,0.0,0.0,60.0
2011-11-25 17:00:00,3.0,64.0,,64.0,14.4,68.0,1010.9,20.5,NE,19.4,0.0,0.0,64.0
2011-11-25 18:00:00,3.0,79.0,,79.0,15.0,75.0,1010.9,19.5,NE,20.9,0.0,0.0,79.0
2011-11-25 19:00:00,3.0,77.0,,77.0,15.3,80.0,1011.6,18.8,NW,1.4,0.0,0.0,77.0
2011-11-25 20:00:00,3.0,85.0,,85.0,15.4,85.0,1012.2,18.0,NE,1.0,0.0,0.0,85.0
2011-11-25 21:00:00,3.0,84.0,,84.0,15.3,85.0,1012.9,17.9,NW,1.5,0.0,0.0,84.0
2011-11-25 22:00:00,3.0,79.0,,79.0,15.3,85.0,1012.8,17.9,NE,1.3,0.0,0.0,79.0
2011-11-25 23:00:00,3.0,82.0,,82.0,15.5,87.0,1012.8,17.7,NE,2.8,0.0,0.0,82.0
2011-11-26 00:00:00,3.0,82.0,,82.0,14.8,84.0,1012.5,17.5,NW,1.4,0.0,0.0,82.0
2011-11-26 01:00:00,3.0,78.0,,78.0,14.9,86.0,1012.4,17.3,NW,2.4,0.0,0.0,78.0
2011-11-26 02:00:00,3.0,66.0,,66.0,14.7,86.0,1012.2,17.1,NW,3.5,0.0,0.0,66.0
2011-11-26 03:00:00,3.0,66.0,,66.0,14.9,88.0,1012.0,16.9,NW,5.0,0.0,0.0,66.0
2011-11-26 04:00:00,3.0,57.0,,57.0,15.0,89.0,1011.2,16.8,NE,1.5,0.0,0.0,57.0
2011-11-26 05:00:00,3.0,55.0,,55.0,14.7,87.0,1011.2,16.9,NE,2.5,0.0,0.0,55.0
2011-11-26 06:00:00,3.0,92.0,,92.0,14.9,89.0,1011.4,16.7,NE,4.3,0.0,0.0,92.0
2011-11-26 07:00:00,3.0,91.0,,91.0,14.9,87.0,1011.7,17.1,NW,1.8,0.0,0.0,91.0
2011-11-26 08:00:00,3.0,98.0,,98.0,14.2,80.0,1012.2,17.7,NW,2.6,0.0,0.0,98.0
2011-11-26 09:00:00,3.0,98.0,,98.0,14.5,80.0,1012.9,18.0,NW,3.5,0.1,0.1,98.0
2011-11-26 10:00:00,3.0,45.0,,45.0,14.8,79.0,1013.3,18.5,NE,2.3,0.0,0.0,45.0
2011-11-26 11:00:00,3.0,44.0,,44.0,14.0,72.0,1012.9,19.2,NW,0.8,0.0,0.0,44.0
2011-11-26 12:00:00,3.0,77.0,,77.0,15.3,76.0,1011.5,19.6,NW,3.0,0.0,0.0,77.0
2011-11-26 13:00:00,3.0,77.0,,77.0,13.0,63.0,1010.4,20.3,NE,2.1,0.1,0.1,77.0
2011-11-26 14:00:00,3.0,43.0,,43.0,14.1,64.0,1009.4,21.2,NE,4.6,0.0,0.0,43.0
2011-11-26 15:00:00,3.0,53.0,,53.0,12.6,55.0,1008.9,22.0,SE,2.0,0.0,0.0,53.0
2011-11-26 16:00:00,3.0,53.0,,53.0,11.8,52.0,1008.8,22.1,SE,3.9,0.0,0.0,53.0
2011-11-26 17:00:00,3.0,66.0,,66.0,12.5,58.0,1009.1,21.1,SE,5.4,0.0,0.0,66.0
2011-11-26 18:00:00,3.0,85.0,,85.0,14.4,72.0,1009.6,19.6,NE,1.6,0.0,0.0,85.0
2011-11-26 19:00:00,3.0,75.0,,75.0,14.0,77.0,1010.0,18.1,NE,4.3,0.0,0.0,75.0
2011-11-26 20:00:00,3.0,74.0,,74.0,14.3,83.0,1010.5,17.2,NW,1.7,0.0,0.0,74.0
2011-11-26 21:00:00,3.0,52.0,,52.0,14.0,84.0,1010.7,16.7,NW,4.0,0.0,0.0,52.0
2011-11-26 22:00:00,3.0,47.0,,47.0,13.7,84.0,1010.4,16.4,NW,5.9,0.0,0.0,47.0
2011-11-26 23:00:00,3.0,47.0,,47.0,13.5,88.0,1010.3,15.5,NE,1.5,0.0,0.0,47.0
2011-11-27 00:00:00,3.0,50.0,,50.0,13.4,92.0,1010.2,14.7,NW,1.9,0.0,0.0,50.0
2011-11-27 01:00:00,3.0,51.0,,51.0,13.0,92.0,1009.8,14.3,NW,3.4,0.0,0.0,51.0
2011-11-27 02:00:00,3.0,47.0,,47.0,12.9,94.0,1009.7,13.8,NE,2.0,0.0,0.0,47.0
2011-11-27 03:00:00,3.0,47.0,,47.0,12.8,94.0,1009.7,13.7,NW,1.9,0.0,0.0,47.0
2011-11-27 04:00:00,3.0,42.0,,42.0,12.6,94.0,1009.2,13.5,NW,3.6,0.0,0.0,42.0
2011-11-27 05:00:00,3.0,39.0,,39.0,12.4,90.0,1009.0,14.0,NW,4.9,0.0,0.0,39.0
2011-11-27 06:00:00,3.0,44.0,,44.0,12.3,86.0,1009.4,14.6,NW,7.2,0.0,0.0,44.0
2011-11-27 07:00:00,3.0,45.0,,45.0,12.0,87.0,1009.8,14.1,NW,8.5,0.0,0.0,45.0
2011-11-27 08:00:00,3.0,66.0,,66.0,13.6,89.0,1010.2,15.4,NW,9.4,0.0,0.0,66.0
2011-11-27 09:00:00,3.0,63.0,,63.0,13.6,77.0,1010.6,17.7,NE,0.7,0.0,0.0,63.0
2011-11-27 10:00:00,3.0,57.0,,57.0,14.8,74.0,1010.9,19.6,NE,2.0,0.0,0.0,57.0
2011-11-27 11:00:00,3.0,43.0,,43.0,14.3,58.0,1010.1,23.0,SE,1.1,0.0,0.0,43.0
2011-11-27 12:00:00,3.0,29.0,,29.0,13.0,48.0,1008.9,24.7,SE,3.6,0.0,0.0,29.0
2011-11-27 13:00:00,3.0,37.0,,37.0,13.0,46.0,1007.8,25.5,NW,1.3,0.0,0.0,37.0
2011-11-27 14:00:00,3.0,37.0,,37.0,12.8,43.0,1007.0,26.4,NW,4.0,0.0,0.0,37.0
2011-11-27 15:00:00,3.0,26.0,,26.0,11.9,40.0,1006.1,26.6,NE,1.3,0.0,0.0,26.0
2011-11-27 16:00:00,3.0,42.0,,42.0,12.3,42.0,1005.7,26.2,NE,2.8,0.0,0.0,42.0
2011-11-27 17:00:00,3.0,44.0,,44.0,13.6,48.0,1005.8,25.4,NE,3.7,0.0,0.0,44.0
2011-11-27 18:00:00,3.0,55.0,,55.0,15.3,73.0,1006.1,20.3,NE,5.9,0.0,0.0,55.0
2011-11-27 19:00:00,3.0,73.0,,73.0,15.2,83.0,1006.5,18.1,NW,1.9,0.0,0.0,73.0
2011-11-27 20:00:00,3.0,89.0,,89.0,15.3,90.0,1006.7,16.9,NE,2.2,0.0,0.0,89.0
2011-11-27 21:00:00,3.0,93.0,,93.0,14.8,92.0,1006.8,16.1,NE,4.6,0.0,0.0,93.0
2011-11-27 22:00:00,3.0,120.0,,120.0,14.7,93.0,1007.2,15.8,NE,7.5,0.0,0.0,120.0
2011-11-27 23:00:00,3.0,102.0,,102.0,14.4,93.0,1007.4,15.5,NE,9.6,0.0,0.0,102.0
2011-11-28 00:00:00,3.0,114.0,,114.0,14.0,94.0,1007.4,15.0,NE,12.0,0.0,0.0,114.0
2011-11-28 01:00:00,3.0,129.0,,129.0,13.8,95.0,1007.2,14.6,NW,1.7,0.0,0.0,129.0
2011-11-28 02:00:00,3.0,137.0,,137.0,13.4,95.0,1007.0,14.2,NE,2.2,0.0,0.0,137.0
2011-11-28 03:00:00,3.0,136.0,,136.0,12.9,95.0,1006.9,13.7,NE,4.3,0.0,0.0,136.0
2011-11-28 04:00:00,3.0,108.0,,108.0,13.1,96.0,1007.0,13.7,NW,2.0,0.0,0.0,108.0
2011-11-28 05:00:00,3.0,145.0,,145.0,12.8,96.0,1007.0,13.4,NE,2.3,0.0,0.0,145.0
2011-11-28 06:00:00,3.0,108.0,,108.0,12.9,96.0,1007.3,13.5,NW,1.9,0.0,0.0,108.0
2011-11-28 07:00:00,3.0,92.0,,92.0,12.7,96.0,1007.8,13.3,NW,4.0,0.0,0.0,92.0
2011-11-28 08:00:00,3.0,100.0,,100.0,14.0,97.0,1008.1,14.5,NW,5.4,0.0,0.0,100.0
2011-11-28 09:00:00,3.0,125.0,,125.0,16.6,88.0,1007.9,18.6,NE,1.1,0.0,0.0,125.0
2011-11-28 10:00:00,3.0,95.0,,95.0,17.5,75.0,1007.8,22.1,NE,2.9,0.0,0.0,95.0
2011-11-28 11:00:00,3.0,72.0,,72.0,15.6,59.0,1007.0,24.1,NE,5.1,0.0,0.0,72.0
2011-11-28 12:00:00,3.0,69.0,,69.0,15.1,52.0,1006.1,25.7,NE,8.0,0.0,0.0,69.0
2011-11-28 13:00:00,3.0,73.0,,73.0,15.8,52.0,1004.8,26.4,NE,10.1,0.0,0.0,73.0
2011-11-28 14:00:00,3.0,86.0,,86.0,14.4,46.0,1004.1,27.0,SW,1.5,0.0,0.0,86.0
2011-11-28 15:00:00,3.0,98.0,,98.0,14.4,46.0,1003.7,27.0,SW,2.9,0.0,0.0,98.0
2011-11-28 16:00:00,3.0,92.0,,92.0,14.9,50.0,1003.7,26.1,SE,2.0,0.0,0.0,92.0
2011-11-28 17:00:00,3.0,137.0,,137.0,16.0,58.0,1004.1,24.8,SE,3.2,0.0,0.0,137.0
2011-11-28 18:00:00,3.0,161.0,,161.0,17.0,77.0,1004.6,21.2,NW,1.6,0.0,0.0,161.0
2011-11-28 19:00:00,3.0,216.0,,216.0,17.2,88.0,1005.2,19.2,NE,2.2,0.0,0.0,216.0
2011-11-28 20:00:00,3.0,204.0,,204.0,16.8,92.0,1005.9,18.1,NE,4.4,0.0,0.0,204.0
2011-11-28 21:00:00,3.0,237.0,,237.0,16.5,93.0,1006.1,17.6,NE,7.1,0.0,0.0,237.0
2011-11-28 22:00:00,3.0,238.0,,238.0,16.0,94.0,1006.3,17.0,NW,1.6,0.0,0.0,238.0
2011-11-28 23:00:00,3.0,249.0,,249.0,15.6,94.0,1006.6,16.6,NE,1.5,0.0,0.0,249.0
2011-11-29 00:00:00,3.0,187.0,,187.0,15.6,95.0,1006.7,16.4,NW,1.3,0.0,0.0,187.0
2011-11-29 01:00:00,3.0,108.0,,108.0,15.4,94.0,1007.2,16.4,NW,2.5,0.0,0.0,108.0
2011-11-29 02:00:00,3.0,80.0,,80.0,15.6,95.0,1007.1,16.4,NE,2.0,0.0,0.0,80.0
2011-11-29 03:00:00,3.0,57.0,,57.0,15.8,96.0,1006.8,16.4,NE,4.0,0.0,0.0,57.0
2011-11-29 04:00:00,3.0,57.0,,57.0,15.7,96.0,1006.8,16.3,NE,6.0,0.0,0.0,57.0
2011-11-29 05:00:00,3.0,52.0,,52.0,16.1,97.0,1007.0,16.6,NW,1.9,0.0,0.0,52.0
2011-11-29 06:00:00,3.0,123.0,,123.0,15.8,97.0,1006.9,16.3,NE,2.5,0.0,0.0,123.0
2011-11-29 07:00:00,3.0,183.0,,183.0,16.0,97.0,1007.8,16.5,NW,1.9,0.0,0.0,183.0
2011-11-29 08:00:00,3.0,116.0,,116.0,16.3,97.0,1008.5,16.8,NE,1.3,0.0,0.0,116.0
2011-11-29 09:00:00,3.0,104.0,,104.0,18.1,96.0,1008.9,18.8,NE,2.4,0.0,0.0,104.0
2011-11-29 10:00:00,3.0,90.0,,90.0,18.5,81.0,1009.0,21.9,NE,3.4,0.0,0.0,90.0
2011-11-29 11:00:00,3.0,120.0,,120.0,18.3,68.0,1008.6,24.6,NW,1.2,0.0,0.0,120.0
2011-11-29 12:00:00,3.0,96.0,,96.0,18.0,66.0,1007.8,24.8,NE,0.7,0.0,0.0,96.0
2011-11-29 13:00:00,3.0,99.0,,99.0,17.5,59.0,1006.5,26.1,SE,1.1,0.0,0.0,99.0
2011-11-29 14:00:00,3.0,90.0,,90.0,16.7,54.0,1005.4,26.8,SW,1.4,0.0,0.0,90.0
2011-11-29 15:00:00,3.0,98.0,,98.0,16.8,55.0,1005.0,26.6,SE,1.3,0.0,0.0,98.0
2011-11-29 16:00:00,3.0,90.0,,90.0,16.0,51.0,1005.0,27.0,NE,1.9,0.0,0.0,90.0
2011-11-29 17:00:00,3.0,81.0,,81.0,15.6,54.0,1005.4,25.6,NE,2.9,0.0,0.0,81.0
2011-11-29 18:00:00,3.0,93.0,,93.0,17.8,79.0,1006.0,21.6,NW,2.1,0.0,0.0,93.0
2011-11-29 19:00:00,3.0,109.0,,109.0,17.6,89.0,1006.6,19.5,NE,2.2,0.0,0.0,109.0
2011-11-29 20:00:00,3.0,137.0,,137.0,16.9,90.0,1007.4,18.6,NW,2.3,0.0,0.0,137.0
2011-11-29 21:00:00,3.0,122.0,,122.0,16.8,93.0,1007.6,17.9,NE,2.3,0.0,0.0,122.0
2011-11-29 22:00:00,3.0,144.0,,144.0,16.7,94.0,1007.8,17.7,NE,4.7,0.0,0.0,144.0
2011-11-29 23:00:00,3.0,115.0,,115.0,16.5,95.0,1007.9,17.3,NE,7.1,0.0,0.0,115.0
2011-11-30 00:00:00,3.0,116.0,,116.0,16.1,95.0,1007.5,16.9,NW,1.5,0.0,0.0,116.0
2011-11-30 01:00:00,3.0,88.0,,88.0,16.0,96.0,1007.5,16.6,SW,1.2,0.0,0.0,88.0
2011-11-30 02:00:00,3.0,82.0,,82.0,15.6,95.0,1007.4,16.4,NW,1.7,0.0,0.0,82.0
2011-11-30 03:00:00,3.0,82.0,,82.0,15.7,96.0,1007.5,16.3,NE,1.8,0.0,0.0,82.0
2011-11-30 04:00:00,3.0,64.0,,64.0,15.6,96.0,1007.5,16.2,NE,4.7,0.0,0.0,64.0
2011-11-30 05:00:00,3.0,75.0,,75.0,15.7,97.0,1007.4,16.2,NE,6.6,0.0,0.0,75.0
2011-11-30 06:00:00,3.0,100.0,,100.0,15.6,97.0,1007.4,16.1,NE,8.4,0.0,0.0,100.0
2011-11-30 07:00:00,3.0,126.0,,126.0,15.7,97.0,1008.1,16.2,NW,1.6,0.0,0.0,126.0
2011-11-30 08:00:00,3.0,109.0,,109.0,17.1,97.0,1008.8,17.6,NW,3.3,0.0,0.0,109.0
2011-11-30 09:00:00,3.0,101.0,,101.0,19.0,93.0,1008.8,20.2,NE,0.9,0.0,0.0,101.0
2011-11-30 10:00:00,3.0,109.0,,109.0,19.0,78.0,1008.7,23.0,SW,1.1,0.0,0.0,109.0
2011-11-30 11:00:00,3.0,99.0,,99.0,17.9,64.0,1008.2,25.2,NE,1.0,0.0,0.0,99.0
2011-11-30 12:00:00,3.0,87.0,,87.0,18.3,64.0,1007.2,25.6,NW,2.7,0.0,0.0,87.0
2011-11-30 13:00:00,3.0,110.0,,110.0,17.8,58.0,1005.9,26.7,NW,5.6,0.0,0.0,110.0
2011-11-30 14:00:00,3.0,109.0,,109.0,16.3,51.0,1004.9,27.3,NE,3.2,0.0,0.0,109.0
2011-11-30 15:00:00,3.0,75.0,,75.0,17.3,56.0,1004.4,26.8,NE,6.6,0.0,0.0,75.0
2011-11-30 16:00:00,3.0,50.0,,50.0,15.5,50.0,1004.4,26.8,NE,10.0,0.0,0.0,50.0
2011-11-30 17:00:00,3.0,62.0,,62.0,15.9,54.0,1004.7,25.9,NE,12.2,0.0,0.0,62.0
2011-11-30 18:00:00,3.0,72.0,,72.0,16.5,65.0,1005.2,23.5,NW,3.1,0.0,0.0,72.0
2011-11-30 19:00:00,3.0,122.0,,122.0,16.2,69.0,1005.9,22.2,NE,3.5,0.0,0.0,122.0
2011-11-30 20:00:00,3.0,89.0,,89.0,14.8,64.0,1006.2,21.9,NE,9.5,0.0,0.0,89.0
2011-11-30 21:00:00,3.0,75.0,,75.0,14.3,65.0,1006.9,21.1,NE,16.5,0.0,0.0,75.0
2011-11-30 22:00:00,3.0,69.0,,69.0,14.0,67.0,1007.5,20.3,NE,22.6,0.0,0.0,69.0
2011-11-30 23:00:00,3.0,66.0,,66.0,13.7,69.0,1008.1,19.5,NE,27.5,0.0,0.0,66.0
2011-12-01 00:00:00,4.0,62.0,,62.0,13.7,72.0,1008.7,18.8,NW,4.8,0.0,0.0,62.0
2011-12-01 01:00:00,4.0,58.0,,58.0,12.6,72.0,1009.0,17.7,NE,5.8,0.0,0.0,58.0
2011-12-01 02:00:00,4.0,49.0,,49.0,11.8,74.0,1009.7,16.4,NE,10.7,0.0,0.0,49.0
2011-12-01 03:00:00,4.0,34.0,,34.0,11.3,75.0,1009.7,15.7,NE,16.8,0.0,0.0,34.0
