datetime,season,PM_Caotangsi,PM_Shahepu,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM_Average
2012-06-06 05:00:00,2,,,69.0,19.0,93.98,1005.1,20.0,cv,0.0,0.1,1.3,69.0
2012-06-06 06:00:00,2,,,70.0,19.0,93.98,1005.1,20.0,NW,1.0,0.0,0.0,70.0
2012-06-06 07:00:00,2,,,74.0,19.0,93.98,1006.1,20.0,cv,0.0,0.0,0.0,74.0
2012-06-06 08:00:00,2,,,81.0,19.0,93.98,1007.1,20.0,cv,0.0,0.0,0.0,81.0
2012-06-06 09:00:00,2,,,91.0,20.0,94.03,1007.1,21.0,cv,0.0,0.0,0.0,91.0
2012-06-06 10:00:00,2,,,112.0,20.0,94.03,1007.1,21.0,cv,0.0,0.0,0.0,112.0
2012-06-06 11:00:00,2,,,121.0,20.0,94.03,1007.1,21.0,cv,1.0,0.0,0.0,121.0
2012-06-06 12:00:00,2,,,125.0,20.0,88.45,1007.1,22.0,cv,1.0,0.0,0.0,125.0
2012-06-06 13:00:00,2,,,120.0,20.0,88.45,1007.1,22.0,cv,1.0,0.0,0.0,120.0
2012-06-06 14:00:00,2,,,119.0,19.0,78.24,1007.1,23.0,cv,1.0,0.0,0.0,119.0
2012-06-06 15:00:00,2,,,98.0,20.0,83.25,1006.1,23.0,cv,2.0,0.0,0.0,98.0
2012-06-06 16:00:00,2,,,99.0,19.0,78.24,1006.1,23.0,cv,2.0,0.0,0.0,99.0
2012-06-06 17:00:00,2,,,99.0,20.0,83.25,1005.1,23.0,cv,4.0,0.0,0.0,99.0
2012-06-06 18:00:00,2,,,125.0,20.0,83.25,1005.1,23.0,SW,2.0,0.0,0.0,125.0
2012-06-06 19:00:00,2,,,146.0,20.0,88.45,1005.1,22.0,SW,4.0,0.0,0.0,146.0
2012-06-06 20:00:00,2,,,161.0,20.0,88.45,1005.1,22.0,SW,5.0,0.0,0.0,161.0
2012-06-06 21:00:00,2,,,174.0,20.0,88.45,1006.1,22.0,cv,0.0,0.0,0.0,174.0
2012-06-06 22:00:00,2,,,155.0,20.0,94.03,1007.1,21.0,cv,0.0,0.0,0.0,155.0
2012-06-06 23:00:00,2,,,3.0,19.0,88.37,1007.1,21.0,cv,1.0,0.2,0.2,3.0
2012-06-07 00:00:00,2,,,117.0,19.0,88.37,1007.1,21.0,cv,2.0,0.8,1.0,117.0
2012-06-07 01:00:00,2,,,113.0,19.0,88.37,1007.1,21.0,cv,3.0,2.0,3.0,113.0
2012-06-07 02:00:00,2,,,108.0,19.0,88.37,1007.1,21.0,cv,3.0,0.6,3.6,108.0
2012-06-07 03:00:00,2,,,87.0,19.0,93.98,1007.1,20.0,cv,5.0,0.0,0.0,87.0
2012-06-07 04:00:00,2,,,85.0,19.0,93.98,1007.1,20.0,SW,2.0,0.3,0.3,85.0
2012-06-07 05:00:00,2,,,70.0,19.0,93.98,1007.1,20.0,SW,4.0,0.0,0.0,70.0
2012-06-07 06:00:00,2,,,59.0,19.0,93.98,1007.1,20.0,cv,2.0,0.0,0.0,59.0
2012-06-07 07:00:00,2,,,59.0,18.0,93.94,1008.1,19.0,SW,3.0,0.0,0.0,59.0
2012-06-07 08:00:00,2,,,44.0,18.0,93.94,1008.1,19.0,SW,6.0,0.0,0.0,44.0
2012-06-07 09:00:00,2,,,45.0,19.0,93.98,1009.1,20.0,cv,2.0,0.0,0.0,45.0
2012-06-07 10:00:00,2,,,,19.0,83.13,1009.1,22.0,cv,3.0,0.0,0.0,35.333333333333336
2012-06-07 11:00:00,2,,,,16.0,57.44,1008.1,25.0,cv,4.0,0.0,0.0,25.666666666666668
2012-06-07 12:00:00,2,,,16.0,17.0,54.39,1008.1,27.0,cv,5.0,0.0,0.0,16.0
2012-06-07 13:00:00,2,,,15.0,16.0,51.05,1008.1,27.0,cv,7.0,0.0,0.0,15.0
2012-06-07 14:00:00,2,,,20.0,17.0,48.42,1007.1,29.0,SE,2.0,0.0,0.0,20.0
2012-06-07 15:00:00,2,,,14.0,17.0,48.42,1007.1,29.0,cv,1.0,0.0,0.0,14.0
2012-06-07 16:00:00,2,,,13.0,16.0,45.44,1006.1,29.0,cv,2.0,0.0,0.0,13.0
2012-06-07 17:00:00,2,,,17.0,17.0,45.72,1006.1,30.0,SE,3.0,0.0,0.0,17.0
2012-06-07 18:00:00,2,,,9.0,16.0,45.44,1005.1,29.0,cv,1.0,0.0,0.0,9.0
2012-06-07 19:00:00,2,,,17.0,18.0,54.65,1006.1,28.0,SW,2.0,0.0,0.0,17.0
2012-06-07 20:00:00,2,,,6.0,19.0,65.41,1006.1,26.0,SW,4.0,0.0,0.0,6.0
2012-06-07 21:00:00,2,,,1.0,20.0,78.39,1007.1,24.0,SE,2.0,0.0,0.0,1.0
2012-06-07 22:00:00,2,,,2.0,18.0,69.2,1007.1,24.0,SE,4.0,0.0,0.0,2.0
2012-06-07 23:00:00,2,,,7.0,19.0,78.24,1007.1,23.0,cv,1.0,0.0,0.0,7.0
2012-06-08 00:00:00,2,,,6.0,19.0,83.13,1008.1,22.0,SW,2.0,0.0,0.0,6.0
2012-06-08 01:00:00,2,,,19.0,19.0,78.24,1007.1,23.0,cv,2.0,0.0,0.0,19.0
2012-06-08 02:00:00,2,,,14.0,18.0,73.5,1007.1,23.0,cv,4.0,0.0,0.0,14.0
2012-06-08 03:00:00,2,,,15.0,19.0,83.13,1007.1,22.0,SW,1.0,0.0,0.0,15.0
2012-06-08 04:00:00,2,,,8.0,19.0,83.13,1007.1,22.0,cv,0.0,0.0,0.0,8.0
2012-06-08 05:00:00,2,,,10.0,19.0,83.13,1007.1,22.0,cv,0.0,0.0,0.0,10.0
2012-06-08 06:00:00,2,,,6.0,20.0,88.45,1007.1,22.0,cv,0.0,0.0,0.0,6.0
2012-06-08 07:00:00,2,,,9.0,20.0,94.03,1007.1,21.0,cv,0.0,0.0,0.0,9.0
2012-06-08 08:00:00,2,,,22.0,20.0,88.45,1008.1,22.0,cv,0.0,0.0,0.0,22.0
2012-06-08 09:00:00,2,,,3.0,20.0,83.25,1008.1,23.0,cv,1.0,0.0,0.0,3.0
2012-06-08 10:00:00,2,,,2.0,20.0,78.39,1008.1,24.0,cv,1.0,0.0,0.0,2.0
2012-06-08 11:00:00,2,,,13.0,20.0,78.39,1008.1,24.0,cv,1.0,0.0,0.0,13.0
2012-06-08 12:00:00,2,,,7.0,20.0,78.39,1008.1,24.0,cv,2.0,0.0,0.0,7.0
2012-06-08 13:00:00,2,,,11.0,19.0,65.41,1008.1,26.0,cv,3.0,0.0,0.0,11.0
2012-06-08 14:00:00,2,,,11.0,19.0,65.41,1007.1,26.0,NE,2.0,0.0,0.0,11.0
2012-06-08 15:00:00,2,,,6.0,19.0,61.67,1006.1,27.0,NE,4.0,0.0,0.0,6.0
2012-06-08 16:00:00,2,,,12.0,19.0,58.17,1006.1,28.0,NE,7.0,0.0,0.0,12.0
2012-06-08 17:00:00,2,,,8.0,18.0,54.65,1006.1,28.0,SE,3.0,0.0,0.0,8.0
2012-06-08 18:00:00,2,,,6.0,19.0,61.67,1006.1,27.0,cv,2.0,0.0,0.0,6.0
2012-06-08 19:00:00,2,,,18.0,19.0,65.41,1006.1,26.0,SE,1.0,0.0,0.0,18.0
2012-06-08 20:00:00,2,,,17.0,20.0,73.84,1007.1,25.0,SW,1.0,0.0,0.0,17.0
2012-06-08 21:00:00,2,,,18.0,20.0,73.84,1007.1,25.0,SW,3.0,0.0,0.0,18.0
2012-06-08 22:00:00,2,,,9.0,21.0,83.37,1008.1,24.0,cv,0.0,0.0,0.0,9.0
2012-06-08 23:00:00,2,,,8.0,20.0,83.25,1008.1,23.0,SW,1.0,0.0,0.0,8.0
2012-06-09 00:00:00,2,,,4.0,20.0,83.25,1008.1,23.0,cv,0.0,0.5,0.5,4.0
2012-06-09 01:00:00,2,,,,20.0,83.25,1007.1,23.0,SW,2.0,0.1,0.6,3.0
2012-06-09 02:00:00,2,,,2.0,21.0,88.54,1007.1,23.0,SW,4.0,1.3,1.9,2.0
2012-06-09 03:00:00,2,,,19.0,20.0,94.03,1007.1,21.0,cv,2.0,0.8,2.7,19.0
2012-06-09 04:00:00,2,,,11.0,19.0,88.37,1007.1,21.0,SW,1.0,0.6,3.3,11.0
2012-06-09 05:00:00,2,,,9.0,19.0,88.37,1007.1,21.0,cv,0.0,0.5,3.8,9.0
2012-06-09 06:00:00,2,,,5.0,19.0,88.37,1006.1,21.0,cv,2.0,0.4,4.2,5.0
2012-06-09 07:00:00,2,,,5.0,19.0,88.37,1007.1,21.0,cv,4.0,0.0,0.0,5.0
2012-06-09 08:00:00,2,,,2.0,19.0,88.37,1007.1,21.0,cv,4.0,0.0,0.0,2.0
2012-06-09 09:00:00,2,,,,19.0,83.13,1007.1,22.0,cv,4.0,0.0,0.0,1.5
2012-06-09 10:00:00,2,,,1.0,20.0,83.25,1007.1,23.0,cv,4.0,0.0,0.0,1.0
2012-06-09 11:00:00,2,,,3.0,20.0,78.39,1007.1,24.0,SW,2.0,0.0,0.0,3.0
2012-06-09 12:00:00,2,,,6.0,19.0,65.41,1006.1,26.0,cv,2.0,0.0,0.0,6.0
2012-06-09 13:00:00,2,,,5.0,17.0,48.42,1005.1,29.0,SW,1.0,0.0,0.0,5.0
2012-06-09 14:00:00,2,,,7.0,16.0,42.9,1004.1,30.0,SW,3.0,0.0,0.0,7.0
2012-06-09 15:00:00,2,,,4.0,17.0,48.42,1004.1,29.0,SW,6.0,0.0,0.0,4.0
2012-06-09 16:00:00,2,,,9.0,17.0,43.18,1003.1,31.0,SE,2.0,0.0,0.0,9.0
2012-06-09 17:00:00,2,,,9.0,15.0,40.24,1002.0,30.0,SW,3.0,0.0,0.0,9.0
2012-06-09 18:00:00,2,,,8.0,16.0,45.44,1002.0,29.0,SW,6.0,0.0,0.0,8.0
2012-06-09 19:00:00,2,,,5.0,17.0,51.31,1002.0,28.0,SW,8.0,0.0,0.0,5.0
2012-06-09 20:00:00,2,,,4.0,18.0,54.65,1002.0,28.0,SW,10.0,0.0,0.0,4.0
2012-06-09 21:00:00,2,,,7.0,18.0,57.93,1003.1,27.0,SW,12.0,0.0,0.0,7.0
2012-06-09 22:00:00,2,,,7.0,20.0,65.62,1003.1,27.0,SW,14.0,0.0,0.0,7.0
2012-06-09 23:00:00,2,,,4.0,20.0,69.6,1003.1,26.0,cv,1.0,0.0,0.0,4.0
2012-06-10 00:00:00,2,,,10.0,20.0,73.84,1003.1,25.0,SW,2.0,0.0,0.0,10.0
2012-06-10 01:00:00,2,,,9.0,20.0,73.84,1002.0,25.0,cv,1.0,0.1,0.1,9.0
2012-06-10 02:00:00,2,,,20.0,21.0,83.37,1002.0,24.0,cv,2.0,0.0,0.0,20.0
2012-06-10 03:00:00,2,,,7.0,21.0,88.54,1002.0,23.0,cv,2.0,0.0,0.0,7.0
2012-06-10 04:00:00,2,,,10.0,22.0,94.12,1002.0,23.0,cv,3.0,0.0,0.0,10.0
2012-06-10 05:00:00,2,,,17.0,21.0,88.54,1002.0,23.0,cv,3.0,0.0,0.0,17.0
2012-06-10 06:00:00,2,,,8.0,21.0,88.54,1002.0,23.0,cv,3.0,0.0,0.0,8.0
2012-06-10 07:00:00,2,,,16.0,22.0,94.12,1002.0,23.0,cv,3.0,0.1,0.1,16.0
2012-06-10 08:00:00,2,,,10.0,21.0,83.37,1003.1,24.0,cv,3.0,0.0,0.0,10.0
2012-06-10 09:00:00,2,,,5.0,22.0,88.62,1003.1,24.0,cv,3.0,0.0,0.0,5.0
2012-06-10 10:00:00,2,,,8.0,22.0,83.48,1003.1,25.0,SW,3.0,0.0,0.0,8.0
2012-06-10 11:00:00,2,,,6.0,20.0,69.6,1003.1,26.0,SW,6.0,0.0,0.0,6.0
2012-06-10 12:00:00,2,,,3.0,20.0,61.9,1003.1,28.0,cv,2.0,0.0,0.0,3.0
2012-06-10 13:00:00,2,,,3.0,16.0,42.9,1002.0,30.0,SW,2.0,0.0,0.0,3.0
2012-06-10 14:00:00,2,,,6.0,13.0,33.39,1001.0,31.0,SW,4.0,0.0,0.0,6.0
2012-06-10 15:00:00,2,,,3.0,14.0,31.83,1001.0,33.0,SE,2.0,0.0,0.0,3.0
2012-06-10 16:00:00,2,,,3.0,14.0,33.67,1000.0,32.0,SW,2.0,0.0,0.0,3.0
2012-06-10 17:00:00,2,,,8.0,15.0,35.91,1000.0,32.0,SW,5.0,0.0,0.0,8.0
2012-06-10 18:00:00,2,,,9.0,13.0,33.39,1000.0,31.0,SW,8.0,0.0,0.0,9.0
2012-06-10 19:00:00,2,,,10.0,15.0,40.24,1000.0,30.0,cv,1.0,0.0,0.0,10.0
2012-06-10 20:00:00,2,,,8.0,19.0,58.17,1000.0,28.0,SW,2.0,0.0,0.0,8.0
2012-06-10 21:00:00,2,,,19.0,20.0,65.62,1001.0,27.0,SW,4.0,0.0,0.0,19.0
2012-06-10 22:00:00,2,,,8.0,20.0,69.6,1002.0,26.0,cv,2.0,0.0,0.0,8.0
2012-06-10 23:00:00,2,,,,21.0,74.02,1002.0,26.0,SW,3.0,0.0,0.0,6.5
2012-06-11 00:00:00,2,,,5.0,21.0,78.53,1002.0,25.0,cv,1.0,0.0,0.0,5.0
2012-06-11 01:00:00,2,,,1.0,21.0,78.53,1002.0,25.0,cv,1.0,1.1,1.1,1.0
2012-06-11 02:00:00,2,,,19.0,22.0,88.62,1002.0,24.0,NW,2.0,0.2,1.3,19.0
2012-06-11 03:00:00,2,,,15.0,21.0,83.37,1002.0,24.0,SW,4.0,0.0,0.0,15.0
2012-06-11 04:00:00,2,,,17.0,22.0,88.62,1002.0,24.0,NE,2.0,0.0,0.0,17.0
2012-06-11 05:00:00,2,,,8.0,22.0,88.62,1002.0,24.0,NW,1.0,0.0,0.0,8.0
2012-06-11 06:00:00,2,,,1.0,17.0,69.01,1003.1,23.0,NW,3.0,0.0,0.0,1.0
2012-06-11 07:00:00,2,,,,15.0,60.74,1003.1,23.0,NW,5.0,0.0,0.0,3.0
2012-06-11 08:00:00,2,,,5.0,16.0,64.76,1004.1,23.0,cv,0.0,0.0,0.0,5.0
2012-06-11 09:00:00,2,,,5.0,15.0,57.2,1005.1,24.0,cv,1.0,0.0,0.0,5.0
2012-06-11 10:00:00,2,,,3.0,16.0,57.44,1005.1,25.0,cv,2.0,0.0,0.0,3.0
2012-06-11 11:00:00,2,,,,15.0,50.78,1005.1,26.0,cv,2.0,0.0,0.0,3.12
2012-06-11 12:00:00,2,,,,15.0,45.16,1005.1,28.0,cv,4.0,0.0,0.0,3.24
2012-06-11 13:00:00,2,,,,16.0,48.15,1005.1,28.0,SW,2.0,0.0,0.0,3.36
2012-06-11 14:00:00,2,,,,17.0,45.72,1004.1,30.0,SW,3.0,0.0,0.0,3.48
2012-06-11 15:00:00,2,,,,14.0,37.73,1004.1,30.0,SW,4.0,0.0,0.0,3.6
2012-06-11 16:00:00,2,,,,13.0,31.55,1003.1,32.0,cv,2.0,0.0,0.0,3.7199999999999998
2012-07-01 07:00:00,2,,,51.0,22.0,94.12,1006.1,23.0,SW,1.0,0.0,0.0,51.0
2012-07-01 08:00:00,2,,,51.0,22.0,94.12,1007.1,23.0,cv,0.0,0.0,0.0,51.0
2012-07-01 09:00:00,2,,,40.0,22.0,88.62,1008.1,24.0,cv,1.0,0.0,0.0,40.0
2012-07-01 10:00:00,2,,,65.0,22.0,88.62,1008.1,24.0,cv,2.0,0.0,0.0,65.0
2012-07-01 11:00:00,2,,,64.0,22.0,83.48,1008.1,25.0,cv,2.0,0.0,0.0,64.0
2012-07-01 12:00:00,2,,,62.0,22.0,78.68,1008.1,26.0,cv,3.0,0.0,0.0,62.0
2012-07-01 13:00:00,2,,,54.0,20.0,65.62,1007.1,27.0,SW,1.0,0.0,0.0,54.0
2012-07-01 14:00:00,2,,,62.0,21.0,65.83,1006.1,28.0,cv,0.0,0.0,0.0,62.0
2012-07-01 15:00:00,2,,,89.0,20.0,61.9,1005.1,28.0,NE,2.0,0.0,0.0,89.0
2012-07-01 16:00:00,2,,,89.0,20.0,61.9,1005.1,28.0,cv,2.0,0.0,0.0,89.0
2012-07-01 17:00:00,2,,,41.0,21.0,65.83,1004.1,28.0,NE,4.0,0.0,0.0,41.0
2012-07-01 18:00:00,2,,,45.0,21.0,69.79,1004.1,27.0,NE,7.0,0.0,0.0,45.0
2012-07-01 19:00:00,2,,,58.0,21.0,69.79,1004.1,27.0,NW,3.0,0.0,0.0,58.0
2012-07-01 20:00:00,2,,,59.0,22.0,78.68,1005.1,26.0,cv,1.0,0.0,0.0,59.0
2012-07-01 21:00:00,2,,,51.0,22.0,83.48,1005.1,25.0,cv,2.0,0.0,0.0,51.0
2012-07-01 22:00:00,2,,,54.0,22.0,83.48,1006.1,25.0,cv,3.0,0.0,0.0,54.0
2012-07-01 23:00:00,2,,,,22.0,83.48,1006.1,25.0,cv,4.0,0.0,0.0,49.5
2012-07-02 00:00:00,2,,,45.0,22.0,88.62,1006.1,24.0,NW,1.0,0.0,0.0,45.0
2012-07-02 01:00:00,2,,,38.0,22.0,88.62,1005.1,24.0,cv,1.0,0.0,0.0,38.0
2012-07-02 02:00:00,2,,,47.0,22.0,88.62,1005.1,24.0,NW,1.0,0.8,0.8,47.0
2012-07-02 03:00:00,2,,,45.0,22.0,94.12,1004.1,23.0,NW,2.0,0.2,1.0,45.0
2012-07-02 04:00:00,2,,,42.0,22.0,94.12,1003.1,23.0,NW,3.0,0.0,0.0,42.0
2012-07-02 05:00:00,2,,,54.0,22.0,94.12,1003.1,23.0,cv,0.0,0.0,0.0,54.0
2012-07-02 06:00:00,2,,,59.0,22.0,94.12,1003.1,23.0,cv,0.0,0.0,0.0,59.0
2012-07-02 07:00:00,2,,,67.0,22.0,94.12,1003.1,23.0,cv,0.0,1.1,1.1,67.0
2012-07-02 08:00:00,2,,,73.0,23.0,94.16,1003.1,24.0,cv,0.0,0.0,0.0,73.0
2012-07-02 09:00:00,2,,,85.0,23.0,94.16,1003.1,24.0,cv,0.0,0.0,0.0,85.0
2012-07-02 10:00:00,2,,,139.0,23.0,94.16,1003.1,24.0,cv,0.0,0.0,0.0,139.0
2012-07-02 11:00:00,2,,,139.0,23.0,88.7,1003.1,25.0,cv,0.0,0.0,0.0,139.0
2012-07-02 12:00:00,2,,,121.0,23.0,88.7,1003.1,25.0,NW,1.0,0.5,0.5,121.0
2012-07-02 13:00:00,2,,,107.0,23.0,88.7,1002.0,25.0,NW,2.0,0.2,0.7,107.0
2012-07-02 14:00:00,2,,,87.0,23.0,88.7,1002.0,25.0,NW,3.0,0.0,0.0,87.0
2012-07-02 15:00:00,2,,,69.0,23.0,88.7,1001.0,25.0,NE,3.0,0.0,0.0,69.0
2012-07-02 16:00:00,2,,,84.0,24.0,88.78,1001.0,26.0,NE,6.0,0.6,0.6,84.0
2012-07-02 17:00:00,2,,,64.0,23.0,83.6,1001.0,26.0,NE,9.0,0.4,1.0,64.0
2012-07-02 18:00:00,2,,,38.0,23.0,88.7,1001.0,25.0,NW,4.0,0.2,1.2,38.0
2012-07-02 19:00:00,2,,,35.0,23.0,94.16,1001.0,24.0,NW,6.0,0.4,1.6,35.0
2012-07-02 20:00:00,2,,,29.0,23.0,94.16,1002.0,24.0,NW,8.0,0.1,1.7,29.0
2012-07-02 21:00:00,2,,,28.0,23.0,94.16,1002.0,24.0,cv,2.0,0.0,0.0,28.0
2012-07-02 22:00:00,2,,,44.0,23.0,94.16,1003.1,24.0,NW,1.0,0.0,0.0,44.0
2012-07-02 23:00:00,2,,,27.0,23.0,94.16,1003.1,24.0,cv,1.0,0.0,0.0,27.0
2012-07-03 00:00:00,2,,,23.0,22.0,88.62,1002.0,24.0,cv,2.0,0.0,0.0,23.0
2012-07-03 01:00:00,2,,,29.0,22.0,94.12,1001.0,23.0,NW,1.0,0.0,0.0,29.0
2012-07-03 02:00:00,2,,,41.0,22.0,94.12,1001.0,23.0,cv,0.0,0.0,0.0,41.0
2012-07-03 03:00:00,2,,,46.0,22.0,88.62,1001.0,24.0,cv,2.0,0.0,0.0,46.0
2012-07-03 04:00:00,2,,,33.0,22.0,88.62,1000.0,24.0,cv,3.0,0.0,0.0,33.0
2012-07-03 05:00:00,2,,,32.0,22.0,88.62,1001.0,24.0,cv,4.0,0.0,0.0,32.0
2012-07-03 06:00:00,2,,,41.0,22.0,88.62,1001.0,24.0,cv,4.0,0.0,0.0,41.0
2012-07-03 07:00:00,2,,,41.0,22.0,88.62,1001.0,24.0,cv,5.0,0.0,0.0,41.0
2012-07-03 08:00:00,2,,,56.0,23.0,94.16,1001.0,24.0,cv,7.0,0.0,0.0,56.0
2012-07-03 09:00:00,2,,,65.0,23.0,94.16,1001.0,24.0,NW,2.0,0.0,0.0,65.0
2012-07-03 10:00:00,2,,,51.0,23.0,88.7,1002.0,25.0,NW,5.0,0.0,0.0,51.0
2012-07-03 11:00:00,2,,,60.0,23.0,83.6,1001.0,26.0,NE,3.0,0.0,0.0,60.0
2012-07-03 12:00:00,2,,,53.0,23.0,78.82,1001.0,27.0,NE,5.0,0.0,0.0,53.0
2012-07-03 13:00:00,2,,,53.0,23.0,74.35,1001.0,28.0,NE,8.0,0.0,0.0,53.0
2012-07-03 14:00:00,2,,,51.0,22.0,69.98,1000.0,28.0,NE,11.0,0.0,0.0,51.0
2012-07-03 15:00:00,2,,,69.0,21.0,65.83,1000.0,28.0,NE,14.0,0.0,0.0,69.0
2012-07-03 16:00:00,2,,,36.0,22.0,69.98,999.0,28.0,NW,2.0,0.0,0.0,36.0
2012-07-03 17:00:00,2,,,22.0,23.0,78.82,999.0,27.0,NW,5.0,0.0,0.0,22.0
2012-07-03 18:00:00,2,,,25.0,23.0,83.6,999.0,26.0,NE,4.0,0.0,0.0,25.0
2012-07-03 19:00:00,2,,,31.0,23.0,83.6,999.0,26.0,NE,7.0,0.0,0.0,31.0
2012-07-03 20:00:00,2,,,34.0,23.0,83.6,999.0,26.0,cv,2.0,0.0,0.0,34.0
2012-07-03 21:00:00,2,,,38.0,23.0,83.6,999.0,26.0,NE,3.0,0.0,0.0,38.0
2012-07-03 22:00:00,2,,,39.0,23.0,88.7,1000.0,25.0,cv,2.0,0.0,0.0,39.0
2012-07-03 23:00:00,2,,,43.0,23.0,88.7,1001.0,25.0,cv,3.0,0.0,0.0,43.0
2012-07-04 00:00:00,2,,,30.0,23.0,94.16,1000.0,24.0,NW,1.0,0.6,0.6,30.0
2012-07-04 01:00:00,2,,,11.0,23.0,94.16,1000.0,24.0,cv,2.0,0.1,0.7,11.0
2012-07-04 02:00:00,2,,,15.0,22.0,94.12,1000.0,23.0,NE,3.0,0.0,0.0,15.0
2012-07-04 03:00:00,2,,,29.0,21.0,94.07,999.0,22.0,cv,1.0,0.1,0.1,29.0
2012-07-04 04:00:00,2,,,19.0,21.0,94.07,999.0,22.0,cv,1.0,0.0,0.0,19.0
2012-07-04 05:00:00,2,,,22.0,22.0,94.12,1000.0,23.0,NE,5.0,0.7,0.7,22.0
2012-07-04 06:00:00,2,,,22.0,22.0,94.12,1000.0,23.0,cv,0.0,0.0,0.0,22.0
2012-07-04 07:00:00,2,,,28.0,22.0,94.12,1000.0,23.0,cv,1.0,0.0,0.0,28.0
2012-07-04 08:00:00,2,,,29.0,22.0,94.12,1000.0,23.0,cv,1.0,1.1,1.1,29.0
2012-07-04 09:00:00,2,,,37.0,22.0,88.62,1001.0,24.0,cv,1.0,0.3,1.4,37.0
2012-07-04 10:00:00,2,,,44.0,23.0,94.16,1001.0,24.0,cv,3.0,0.2,1.6,44.0
2012-07-04 11:00:00,2,,,49.0,23.0,83.6,1002.0,26.0,cv,5.0,0.0,0.0,49.0
2012-07-04 12:00:00,2,,,52.0,23.0,83.6,1002.0,26.0,SW,3.0,0.0,0.0,52.0
2012-07-04 13:00:00,2,,,38.0,22.0,74.19,1001.0,27.0,SW,6.0,0.0,0.0,38.0
2012-07-04 14:00:00,2,,,18.0,22.0,69.98,1001.0,28.0,SW,10.0,0.0,0.0,18.0
2012-07-04 15:00:00,2,,,21.0,22.0,66.04,1000.0,29.0,SW,14.0,0.0,0.0,21.0
2012-07-04 16:00:00,2,,,24.0,18.0,45.99,999.0,31.0,SW,19.0,0.0,0.0,24.0
2012-07-04 17:00:00,2,,,21.0,18.0,45.99,999.0,31.0,SW,24.0,0.0,0.0,21.0
